"id","level","content_text","content_code","content_image","is_to_be_revised","created_at","revised_at"
"61","16","Quel est le principe de fonctionnement d'un algorithme de tri par fusion (merge sort) ",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"62","16","A quoi correspond Kerberos ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"63","16","Que signifie ""mb4"" dans le nom de l'encodage utf8mb4 ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"64","16","Qu'est-ce qu'une injection de dépendances en développement logiciel ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"65","17","Qu'est-ce qu'un buffer overflow ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"66","17","Quel est le rôle d'un serveur reverse proxy ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"67","17","A quoi correspond l'hardening?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"68","17","Quelle est la principale différence entre le chiffrement symétrique et le chiffrement asymétrique ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"69","18","Qu'est-ce que elf x86?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"70","18","Que signifie le terme sharding dans le domaine des bases de données distribuées ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"71","18","Quelle est la principale utilisation des expressions régulières ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"72","18","Laquelle de ces commande nmap permet de scanner tout les port d'une machine en mode Xmas?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"73","19","Qu'est-ce que le process hollowing?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"74","19","Lors de la mise en œuvre du protocole Diffie-Hellman pour l'échange de clés, quelle vulnérabilité peut survenir si le processus n'est pas correctement sécurisé, même si l'algorithme est théoriquement sûr ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"75","19","Dans une architecture de microservices, quel est le principal défi associé à la gestion de l'état (state management) entre plusieurs services ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"76","19","Qui a co-fondé Microsoft en 1975 et est également connu pour sa contribution à l'émergence de l'industrie des logiciels personnels ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"77","20","Quelle est la difference entre netcat et socat?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"78","20","Quel est le rôle d'un load balancer (répartiteur de charge) dans un environnement de serveurs ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"79","20","Dans le cadre d'une attaque de type ""Cold Boot Attack"", quelle est la méthode principale exploitée pour extraire des clés de chiffrement stockées dans la mémoire vive (RAM) d'un ordinateur ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
"80","20","Quel est le sens de la vie ?",NULL,NULL,"0","2024-09-30 16:39:18",NULL
